Ампульный стручок;Хождение по воде;Паралич;Заметить сущность;Уменьшить силу воли
Банглер бейн;Уменьшить скорость;Уменьшить выносливость;Развеять;Уменьшить силу
Болотный тростник;Восстановить здоровье;Обнаружить чары;Уменьшить силу воли;Уменьшить запас сил
Большое яйцо квама;Восстановить запас сил;Паралич;Ледяной щит;Увеличить здоровье
Большой кусок корпрусного мяса;Уменьшить запас сил;Уменьшить здоровье;Уменьшить магию;
Большой ломоть корпрусного мяса;Уменьшить запас сил;Уменьшить здоровье;Уменьшить магию;
Бриллиант;Уменьшить ловкость;Невидимость;Отражение;Найти ключ
Вереск;Восстановить привлекательность;Главные навыки;Уменьшить скорость;Уменьшить привлекательность
Виквит;Восстановить здоровье;Увеличить силу воли;Паралич;Отнять интеллект
Волокно креша;Восстановить удачу;Увеличить привлекательность;Уменьшить магию;Уменьшить скорость
Вредозобник;Уменьшить силу;Противоядие;Уменьшить здоровье;Восстановить силу воли
Вяленая скрибятина;Восстановить запас сил;Увеличить запас сил;Обуза;Быстрое плавание
Гайфа фация;Уменьшить удачу;Уменьшить ловкость;Уменьшить запас сил;Обнаружить чары
Дреугский воск;Увеличить силу;Восстановить силу;Уменьшить удачу;Уменьшить силу воли
Жемчужина;Уменьшить ловкость;Развеять;Водное дыхание;Сопротивление обычным болезням
Зеленый лишайник;Увеличить привлекательность;Излечить обычную болезнь;Уменьшить силу;Уменьшить здоровье
Золотой канет;Уменьшить здоровье;Обуза;Уменьшить удачу;Восстановить силу
Ивовый пыльник;Уменьшить привлекательность;Ледяной щит;Излечить обычную болезнь;Излечить паралич
Изумруд;Увеличить магию;Восстановить здоровье;Уменьшить ловкость;Уменьшить выносливость
Кожа даэдра;Увеличить силу;Излечить обычную болезнь;Паралич;Быстрое плавание
Кожа нетча;Увеличить выносливость;Увеличить интеллект;Уменьшить привлекательность;Излечить паралич
Кожа скампа;Уменьшить магию;Излечить паралич;Восстановить привлекательность;Восстановить силу
Комуника;Уменьшить запас сил;Восстановить магию;Огненный щит;Отражение
Корень пробочника;Излечить паралич;Восстановить здоровье;Щит молний;Увеличить удачу
Корень трамы;Восстановить силу воли;Левитация;Уменьшить магию;Уменьщить скорость
Костяная мука;Восстановить ловкость;Телекинез;Уменьшить запас сил;Уменьшить привлекательность
Крабовое мясо;Восстановить запас сил;Сопротивление электричеству;Щит молний;Восстановить удачу
Красный лишайник;Уменьшить скорость;Свет;Излечить обычную болезнь;Уменьшить магию
Лепестки горьколистника;Восстановить интеллект;Невидимость;Уменьшить выносливость;Уменьшить магию
Лепестки каменевки;Восстановить силу;Увеличить магию;Уменьщить удачу;Увеличить привлекательность
Лиловый копринус;Хождение по воде;Уменьшить запас сил;Отравление;
Лист хакльлоу;Восстановить запас сил;Паралич;Водное дыхание;Восстановить удачу
Ломоть корпрусного мяса;Уменьшить запас сил;Уменьшить здоровье;Уменьшить магию;
Лунный сахар;Увеличить скорость;Развеять;Уменьшить выносливость;Уменьшить удачу
Мал. Кусок корпрусного мяса;Уменьшить запас сил;Уменьшить здоровье;Уменьшить магию;
Мал. Ломоть корпрусного мяса;Уменьшить запас сил;Уменьшить здоровье;Уменьшить магию;
Маленькое яйцо квама;Восстановить запас сил;;;
Могильная пыль;Уменьшить интеллект;Излечить обычную болезнь;Уменьшить магию;Восстановить выносливость
Молочко квама;Сопротивление ядам;Уменьшить запас сил;Хождение по воде;Водное дыхание
Морозная соль;Уменьшить скорость;Восстановить магию;Ледяной щит;Сопротивление огню
Муск;Уменьшить интеллект;Найти ключ;Уменьшить привлекательность;Излечить обычную болезнь
Мыло слоад;Уменьщить привлекательность;Увеличить ловкость;Огненный щит;Восстановить ловкость
Мясо гончей;Восстановить запас сил;Увеличить запас сил;Отражение;Обнаружить чары
Мясо крысы;Уменьшить магию;Паралич;Противоядие;Сопротивление ядам
Обрезки металла;Уменьшить здоровье;Щит молний;Сопротивление электричеству;Восстановить интеллект
Огненная соль;Уменьшить здоровье;Увеличить ловкость;Сопротивление холоду;Огненный щит
Огненный лепесток;Сопротивлени огню;Уменьшить здоровье;Поглощение заклинаний;Паралич
Оладья;Восстановить запас сил;;;
Очищ. Лепестки горьколистника;Восстановить интеллект;Уменьшить магию;Уменьщить выносливость;Невидимость
Пепельный батат;Увеличить интеллект;Увеличить силу;Сопротивление обычным болезням;Найти ключ
Перья наездника;Уменьшить силу воли;Левитация;;
Прах вампира;Увеличить здоровье;Увеличить силу;Поглощение заклинаний;Вампиризм
Рубин;Уменьшить здоровье;Главные навыки;Восстановить интеллект;Уменьшить ловкость
Рубраш ;Уменьшить силу воли;Увеличить ловкость;Уменьшить здоровье;Противоядие
Светящаяся сыроежка;Водное дыхание;Уменьшить запас сил;Отравление;
Сердце даэдры;Восстановить магию;Увеличить выносливость;Уменьшить ловкость;Кошачий глаз
Сердце упыря;Паралич;Противоядие;Увеличить атаку;
Скаттл;Восстановить запас сил;Увеличить запас сил;Главные навыки;Телекинез
Скрибовое желе;Увеличить силу воли;Противоядие;Излечить моровую болезнь;Восстановить силу воли
Слеза роланда;Уменьшить здоровье;Обуза;Уменьшить удачу;Восстановить силу
Слезы корпруса;Уменьшить запас сил;Увеличить удачу;Уменьшить силу воли;Восстановить здоровье
Слизь;Увеличить силу воли;Противоядие;Излечить моровую болезнь;Восстановить силу воли
Смола;Восстановить здоровье;Восстановить скорость;Обуза;Сопротивление обычным болезням
Смола шалка;Увеличить запас сил;Увеличить здоровье;Уменьщить привлекательность;Увеличить скорость
Соленый рис;Восстановить запас сил;Увеличить магию;Уменьшить силу;Восстановить здоровье
Соли пепла;Уменьшить ловкость;Сопротивление магии;Излечить моровую болезнь;Сопротивление магии
Соли пустоты;Восстановить магию;Поглощение заклинаний;Паралич;Уменьшить выносливость
Спороносный стручок ;Уменьшить силу;Уменьшить запас сил;Найти ключ;Паралич
Средний кусок корпрусного мяса;Уменьшить запас сил;Уменьшить здоровье;Уменьшить магию;
Средний ломоть корпрусного мяса;Уменьшить запас сил;Уменьшить здоровье;Уменьшить магию;
Стекло-сырец;Уменьшить интеллект;Уменьшить силу;Уменьшить скорость;Огненный щит
Толстоспорник;Уменьшить магию;Увеличить интеллект;Увеличить силу воли;Заметить сущность
Удушайка;Уменьшить удачу;Восстановить запас сил;Излечить обычную болезнь;Уменьшить силу воли
Хлеб;Восстановить запас сил;;;
Цветок коды;Уменьшить привлекательность;Левитация;Уменьшить интеллект;Уменьшить здоровье
Человечина;Увеличить здоровье;Уменьшить интеллект;Уменьшить привлекательность;
Черный лишайник;Уменьшить силу;Сопротивление холоду;Уменьшить скорость;Противоядие
Черный пыльник;Уменьшить ловкость;Сопротивление огню;Уменьшить выносливость;Свет
Чешуя;Уменьшить привлекательность;Хождение по воде;Восстановить выносливость;Быстрое плавание
Шкура алита;Уменьшить интеллект;Сопротивление ядам;Телекинез;Заметить сущность
Шкура гуара;Уменьшить запас сил;Увеличить выносливость;Восстановить привлекательность;Увеличить удачу
Шкура гуара гирита;Уменьшить запас сил;Увеличить выносливость;Восстановить привлекательность;Увеличить удачу
Шкура гуара марсуса;Уменьшить запас сил;Увеличить выносливость;Восстановить привлекательность;Увеличить удачу
Шкура кагути;Уменьшить запас сил;Увеличить скорость;Сопротивление обычным болезням;Кошачий глаз
Эбонит-сырец;Уменьшить ловкость;Противоядие;Ледяной щит;Восстановить скорость
Эктоплазма;Увеличить ловкость;Заметить сущность;Уменьшить силу;Уменьшить здоровье
Яд;Уязвимость к яду;Отнять здоровье;Отнять силы;Отравление
